No.,Top1_sent,Top2_sent,Top3_sent,Top4_sent,Top5_sent,Top6_sent,Top7_sent,Top8_sent,Top9_sent,Top10_sent,Top11_sent,Top12_sent,Top13_sent,Top14_sent,Top15_sent,Top16_sent,Top17_sent,Top18_sent,Top19_sent,Top20_sent,Label
71,1,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,1,0
72,-1,-1,-1,0,1,-1,0,0,-1,0,1,1,-1,0,0,0,0,1,1,-1,1
73,-1,0,-1,1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
74,0,0,1,0,0,-1,0,1,1,0,-1,1,0,0,0,0,0,0,0,0,0
75,0,0,-1,0,0,0,1,0,1,-1,0,-1,0,0,0,1,0,0,0,0,1
76,0,1,0,0,1,0,0,0,-1,0,1,1,0,0,0,1,1,0,0,0,1
77,1,0,1,0,1,0,0,-1,0,0,1,0,0,0,-1,-1,0,-1,1,0,1
78,1,0,-1,0,1,1,0,1,0,0,0,0,-1,0,0,1,-1,0,1,0,1
79,0,0,0,0,0,1,0,1,-1,0,0,-1,1,0,-1,0,-1,0,-1,0,1
80,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,1,0,-1,0,0,0,0
81,-1,0,0,0,1,1,1,0,0,-1,1,0,1,0,0,0,1,-1,0,0,1
82,1,1,0,-1,-1,-1,-1,0,0,0,0,1,-1,0,1,-1,0,0,0,0,1
83,0,1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,0
84,-1,0,0,0,1,1,0,1,-1,1,-1,0,1,1,0,-1,-1,1,0,0,1
85,0,1,0,-1,1,0,0,1,1,1,0,1,0,0,1,1,0,0,-1,0,1
86,-1,-1,0,1,-1,-1,0,0,0,0,-1,0,1,-1,0,0,-1,1,0,0,0
87,0,-1,-1,1,0,0,0,1,1,-1,0,0,0,0,0,0,1,1,0,1,1
88,0,0,1,-1,0,1,0,1,0,1,1,0,1,0,0,0,0,-1,1,0,0
89,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,0,-1,0,0,0,-1,-1,1
90,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,-1,0,1,0
91,-1,1,0,-1,0,-1,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1
92,0,-1,1,0,-1,1,1,1,-1,-1,0,1,0,0,1,0,1,0,0,0,0
93,0,0,1,0,0,1,-1,0,-1,0,0,0,1,0,1,-1,0,1,0,0,0
94,1,1,0,1,-1,0,-1,1,1,0,-1,0,0,0,1,0,0,0,1,0,0
95,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0
96,-1,1,1,0,-1,1,0,0,0,-1,0,0,-1,0,0,0,-1,1,0,0,0
97,0,1,1,1,1,-1,0,1,1,0,0,0,0,1,0,0,-1,1,0,0,1
98,-1,1,-1,0,-1,0,-1,1,0,1,1,0,-1,0,0,1,1,0,0,0,1
99,1,0,0,0,0,0,0,1,0,1,1,-1,1,0,0,0,1,-1,0,0,0
100,-1,-1,1,0,0,0,-1,1,-1,1,0,0,0,1,1,1,-1,-1,0,0,1
101,-1,0,1,0,-1,1,0,1,0,-1,0,-1,-1,0,1,1,1,1,-1,0,1
102,0,-1,1,0,-1,0,-1,0,1,0,0,0,0,0,-1,1,1,0,0,0,1
103,0,0,0,-1,0,0,0,0,-1,1,-1,0,1,0,1,-1,-1,0,1,0,0
104,1,1,0,0,0,0,0,1,0,-1,0,-1,0,0,0,1,0,0,1,0,1
105,0,0,1,-1,0,0,-1,1,1,1,0,1,1,0,1,1,0,0,0,1,0
106,0,0,0,0,0,0,0,0,1,0,-1,-1,1,-1,0,0,-1,0,0,1,0
107,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,-1,1,-1,0
108,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,1,1,1,0,1,0
109,0,-1,-1,0,-1,-1,1,0,0,0,0,0,1,0,1,0,0,0,-1,0,0
110,0,-1,0,0,-1,-1,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0
111,-1,0,-1,1,1,0,0,1,1,-1,1,0,0,0,0,0,0,0,-1,0,1
112,0,1,0,1,0,-1,-1,-1,-1,-1,0,1,0,-1,0,0,0,0,-1,0,1
113,1,-1,1,-1,0,0,0,0,0,0,1,0,0,0,1,-1,-1,0,-1,1,0
114,0,0,0,0,-1,0,-1,-1,0,1,0,0,0,1,1,0,-1,1,0,0,1
115,-1,-1,0,1,0,-1,1,0,0,-1,1,0,0,1,-1,0,0,-1,1,1,0
116,0,-1,-1,0,0,-1,0,0,1,1,1,-1,1,0,0,0,0,0,-1,1,0
117,-1,0,1,-1,0,-1,-1,-1,1,1,1,0,-1,0,0,0,0,-1,1,-1,1
118,1,1,1,0,0,-1,-1,0,0,0,0,1,-1,-1,-1,1,-1,0,0,-1,1
119,0,1,1,0,-1,0,-1,1,0,-1,1,0,-1,0,0,0,1,1,-1,1,1
120,0,0,0,1,-1,0,-1,1,0,0,1,0,1,0,0,0,1,-1,0,0,0
121,0,-1,0,0,1,-1,0,0,0,1,-1,1,1,1,0,0,0,-1,0,-1,0
122,0,1,0,-1,1,0,0,-1,1,-1,-1,-1,0,-1,-1,1,0,0,1,-1,0
123,1,1,1,0,1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,1
124,-1,1,0,0,-1,1,-1,0,1,-1,-1,-1,-1,0,1,-1,0,-1,1,0,0
125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,-1,1,1
126,0,0,0,0,0,1,0,0,0,-1,0,0,1,1,-1,1,1,-1,1,1,1
127,0,0,0,-1,0,0,0,1,-1,0,1,0,-1,0,0,0,0,1,1,1,0
128,1,0,1,0,0,0,0,0,0,1,0,-1,-1,0,0,1,-1,0,0,1,0
129,0,1,1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,0,1,1,0,1
130,-1,0,0,0,0,-1,0,0,1,1,0,0,0,1,0,-1,0,1,1,0,0
131,-1,-1,-1,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
132,-1,-1,0,0,1,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,-1,0
133,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,1
134,-1,1,0,0,0,0,1,0,0,0,0,1,0,-1,1,0,-1,0,0,0,0
135,0,0,1,0,0,0,0,0,-1,1,-1,-1,-1,-1,0,0,0,-1,0,0,0
136,0,0,1,-1,-1,0,-1,-1,0,-1,-1,0,0,1,0,-1,1,0,-1,-1,0
137,-1,0,0,1,-1,-1,-1,1,0,-1,0,1,1,1,1,1,0,0,-1,-1,1
138,0,0,1,0,1,0,0,-1,0,-1,0,1,-1,0,-1,-1,0,0,1,-1,0
139,0,0,-1,0,0,-1,1,1,0,1,0,0,0,1,0,1,0,0,1,-1,0
140,0,0,0,0,0,0,1,1,0,0,1,0,-1,0,0,0,0,0,0,1,0
141,0,-1,1,0,-1,0,-1,0,1,-1,0,0,-1,0,0,1,-1,0,0,0,0
142,-1,-1,-1,0,1,0,0,-1,-1,0,1,-1,0,1,1,0,-1,0,0,0,0
143,-1,0,1,0,-1,-1,0,1,-1,0,1,0,-1,1,0,1,0,0,0,0,1
144,-1,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,-1,-1,0,-1,0,0
145,-1,-1,-1,1,0,-1,-1,1,-1,-1,0,0,-1,0,0,-1,0,-1,1,1,1
146,1,0,1,1,-1,1,0,0,1,0,1,0,0,-1,-1,0,-1,0,0,1,0
147,0,-1,0,1,-1,1,-1,0,1,-1,1,0,0,0,-1,0,-1,0,-1,-1,1
148,0,0,0,0,-1,-1,1,1,1,1,1,-1,1,-1,1,0,-1,1,0,1,1
149,-1,0,-1,1,0,0,0,-1,-1,1,0,-1,1,0,0,0,0,-1,1,1,1
150,1,-1,1,0,1,1,0,-1,-1,-1,0,0,-1,1,0,0,0,0,-1,0,1
151,1,-1,0,0,-1,1,0,1,1,1,0,0,-1,1,0,1,0,1,-1,0,0
152,0,-1,1,-1,1,1,-1,0,0,0,-1,0,1,0,-1,0,0,0,0,0,1
153,0,0,0,0,-1,1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,1
154,1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1,1,0,0,0
155,1,1,0,-1,1,0,-1,0,0,-1,-1,-1,-1,0,1,-1,0,1,1,0,0
156,1,1,1,1,1,0,-1,1,1,1,-1,0,0,0,0,-1,0,1,1,0,1
157,0,1,1,0,1,1,0,0,-1,0,0,0,0,-1,-1,1,-1,0,0,0,0
158,0,-1,-1,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,1,0,1,0,1
159,0,1,1,0,-1,1,-1,-1,0,0,0,0,0,0,0,1,-1,1,0,0,1
160,-1,0,1,-1,1,0,1,0,0,0,1,0,1,0,-1,0,0,0,0,1,0
161,0,-1,1,0,-1,0,-1,0,1,0,1,1,0,-1,0,0,0,0,1,0,0
162,-1,0,0,1,-1,0,0,0,0,-1,0,0,0,1,-1,1,0,0,-1,-1,1
163,0,1,-1,1,0,-1,1,1,0,-1,-1,-1,0,1,0,0,-1,0,-1,1,1
164,1,1,0,1,1,1,-1,1,1,0,0,0,1,0,1,0,0,0,1,-1,1
165,0,1,0,1,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,-1,1,-1,1
166,0,0,0,0,-1,-1,0,0,0,-1,1,-1,0,1,1,1,0,-1,-1,-1,0
167,-1,1,0,0,0,1,-1,1,0,0,-1,0,-1,0,0,1,1,-1,0,0,0
168,-1,1,1,0,0,0,-1,-1,0,0,1,0,1,1,0,0,1,0,0,0,1
169,0,0,-1,1,0,0,-1,-1,0,0,1,-1,0,-1,0,1,0,0,0,-1,1
170,0,-1,-1,0,-1,-1,1,0,0,-1,0,0,0,1,1,0,0,1,-1,-1,0
171,0,1,0,0,0,0,1,0,1,0,0,0,-1,0,-1,1,-1,1,0,1,0
172,0,0,0,0,-1,1,1,-1,0,1,-1,1,0,0,0,1,-1,0,0,1,1
173,0,0,0,0,0,0,0,0,1,-1,0,-1,1,-1,1,1,0,1,0,1,1
174,0,0,1,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,1,0,-1,-1,0,1
175,0,1,1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0
176,0,0,0,-1,0,1,0,0,1,0,1,1,0,-1,1,0,-1,1,0,0,1
177,1,1,1,-1,1,1,1,0,0,-1,-1,1,0,0,1,-1,0,0,0,-1,0
178,-1,0,0,0,1,0,0,0,0,1,-1,1,1,-1,-1,0,1,1,0,1,1
179,1,-1,-1,0,0,1,0,1,-1,0,0,0,-1,1,-1,0,1,1,0,0,1
180,0,1,1,0,0,0,1,0,-1,0,0,-1,1,0,1,1,1,0,1,1,0
181,0,0,0,-1,0,1,1,1,0,-1,0,0,0,-1,0,0,-1,0,1,0,0
182,0,-1,0,0,-1,0,1,0,0,1,0,0,0,0,1,-1,1,-1,1,1,1
183,1,-1,1,-1,0,1,0,0,-1,0,-1,1,1,0,0,-1,0,0,0,-1,0
184,1,-1,0,1,1,0,-1,1,0,-1,1,0,1,1,0,-1,-1,1,0,0,1
185,0,1,1,1,0,-1,1,1,-1,-1,0,-1,1,0,0,0,0,1,0,-1,1
186,1,0,1,0,-1,1,0,0,-1,-1,1,1,0,0,0,0,1,0,0,0,0
187,0,1,0,1,-1,0,0,1,1,0,1,0,0,-1,-1,-1,-1,0,1,0,1
188,1,-1,0,0,0,0,1,1,-1,0,0,-1,1,0,1,1,1,1,-1,0,0
189,1,1,-1,1,-1,0,-1,1,0,-1,0,1,0,-1,0,0,0,0,0,0,1
190,-1,-1,-1,1,1,1,0,-1,-1,1,1,0,-1,0,-1,1,1,0,0,1,0
191,1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,1,1,1,0,-1,-1,1
192,0,1,0,1,-1,0,1,-1,-1,0,-1,0,1,-1,1,1,1,0,0,-1,0
193,0,-1,0,0,1,-1,0,1,0,0,0,1,0,1,0,0,1,0,-1,0,1
194,1,1,1,0,0,1,0,0,0,1,-1,0,1,0,-1,0,0,1,0,0,0
195,-1,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,1,-1,0,0,1
196,0,0,1,-1,-1,-1,0,1,1,1,0,0,0,1,0,0,0,1,0,-1,0
197,0,1,-1,0,0,-1,0,0,0,1,0,0,-1,-1,-1,1,-1,0,1,0,0
198,-1,0,0,1,-1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
199,-1,1,1,-1,0,1,-1,1,0,0,0,0,-1,-1,1,0,1,0,1,0,0
200,0,0,1,0,0,0,0,0,-1,1,0,0,-1,1,1,1,0,1,-1,-1,1
201,-1,-1,-1,-1,0,0,0,0,-1,0,1,-1,0,1,0,0,1,0,0,0,0
202,1,0,0,1,1,1,1,1,-1,-1,0,-1,0,1,0,0,0,1,0,-1,1
203,1,1,0,-1,-1,1,-1,1,0,0,1,0,0,1,1,-1,0,-1,0,1,1
204,0,0,1,0,-1,1,1,1,0,-1,1,0,0,1,0,0,0,-1,0,0,1
205,-1,0,1,0,0,1,-1,0,-1,-1,-1,0,1,0,0,1,0,-1,1,1,1
206,0,0,0,1,0,0,1,0,0,0,0,1,-1,1,-1,-1,0,1,0,1,0
207,-1,1,1,-1,0,-1,0,1,1,0,0,-1,-1,0,0,0,1,1,1,0,1
208,0,0,0,1,0,1,-1,1,0,0,0,0,0,0,1,1,1,0,-1,0,1
209,1,1,1,-1,-1,0,0,1,-1,1,0,0,-1,1,0,-1,-1,-1,-1,0,1
210,0,1,-1,1,0,-1,-1,-1,0,0,-1,0,0,0,1,-1,0,0,1,0,0
211,0,0,1,1,0,-1,-1,0,-1,1,1,0,-1,0,0,1,1,1,1,0,0
212,0,-1,1,-1,1,0,-1,0,1,-1,0,1,0,1,1,0,1,0,1,0,1
213,1,1,0,-1,1,0,-1,0,0,-1,1,-1,1,-1,0,-1,1,0,0,0,1
214,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,0,1,0,0,0
215,0,0,-1,1,1,-1,-1,0,0,0,-1,-1,0,-1,-1,0,0,0,1,1,0
216,0,1,1,1,0,1,-1,0,1,0,0,0,1,-1,-1,0,0,1,0,0,0
217,-1,-1,-1,-1,1,1,0,1,1,0,0,1,1,-1,1,1,-1,-1,0,1,1
218,-1,0,0,1,1,1,-1,-1,0,-1,0,1,0,-1,1,-1,1,0,0,0,0
219,-1,0,0,0,-1,1,1,0,1,0,-1,1,0,1,0,1,0,1,1,-1,0
220,1,-1,0,0,0,0,1,-1,0,-1,1,-1,0,0,0,0,1,0,1,0,0
221,-1,0,0,0,-1,1,1,1,-1,1,1,1,0,0,1,0,-1,0,1,0,0
222,0,0,0,0,0,1,0,-1,0,0,-1,1,1,0,1,1,0,1,1,1,1
223,0,0,1,1,0,0,-1,0,0,-1,0,0,0,1,0,1,-1,0,0,0,0
224,0,1,-1,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,1,-1,0,1
225,0,-1,0,1,-1,1,-1,1,0,-1,-1,-1,1,1,-1,0,0,0,0,1,0
226,1,-1,0,0,0,1,1,0,-1,0,0,-1,0,-1,1,0,1,0,1,0,1
227,0,-1,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,1,1,-1,0
228,0,-1,0,0,-1,0,-1,0,-1,0,-1,-1,-1,0,0,0,-1,-1,0,0,1
229,1,0,-1,0,-1,0,0,0,-1,-1,1,-1,0,0,0,0,-1,-1,-1,0,0
230,-1,-1,1,0,0,1,1,1,-1,-1,1,1,0,1,-1,-1,-1,-1,-1,-1,1
231,1,-1,0,0,1,-1,1,-1,0,1,0,-1,1,-1,0,1,-1,0,0,-1,1
232,-1,0,-1,-1,1,1,1,-1,0,0,-1,-1,0,1,0,1,-1,0,-1,1,0
233,-1,0,0,0,-1,-1,0,1,0,1,1,-1,0,1,1,0,-1,1,-1,0,1
234,1,-1,-1,-1,0,1,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1
235,1,1,1,0,0,0,-1,0,0,1,0,0,1,0,-1,0,0,1,0,1,1
236,-1,-1,1,0,0,1,1,1,0,0,0,0,-1,-1,0,-1,1,-1,-1,-1,1
237,1,0,1,1,0,-1,0,0,0,1,0,0,-1,0,0,0,1,0,0,1,1
238,-1,-1,0,1,-1,1,-1,1,1,0,1,0,-1,0,0,1,1,0,0,1,1
239,-1,1,-1,0,-1,1,-1,1,0,0,-1,0,1,0,1,0,1,1,0,0,1
240,1,1,0,0,0,1,1,1,0,-1,0,1,-1,-1,0,-1,-1,1,1,-1,0
241,1,1,1,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,1,0,1
242,0,-1,1,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,1
243,0,0,1,0,1,0,0,1,1,1,-1,1,-1,-1,1,0,1,1,0,0,1
244,-1,-1,1,1,-1,0,0,0,1,1,1,0,-1,0,0,1,1,-1,0,-1,0
245,1,-1,-1,-1,1,1,-1,0,-1,1,-1,0,0,0,0,-1,-1,-1,1,-1,0
246,1,-1,-1,1,-1,0,-1,0,0,-1,1,1,0,0,1,0,0,0,0,0,1
247,1,0,-1,-1,1,-1,0,0,0,1,0,1,-1,0,0,-1,1,-1,-1,0,1
248,-1,-1,0,-1,1,1,0,0,1,0,1,1,1,0,-1,1,-1,1,1,0,1
249,1,0,0,1,-1,-1,1,-1,-1,0,0,0,0,0,0,1,-1,1,-1,0,1
250,0,-1,-1,0,1,-1,-1,0,1,0,1,-1,0,0,0,-1,0,0,0,0,0
251,1,0,0,1,1,0,-1,1,1,1,1,0,-1,0,1,0,1,1,-1,0,0
252,-1,0,0,-1,-1,-1,-1,1,-1,-1,0,-1,0,0,1,0,0,0,-1,-1,1
253,0,1,0,1,1,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,1,0,0
254,0,0,-1,1,-1,0,-1,1,-1,-1,-1,0,-1,1,0,1,0,-1,-1,0,0
255,0,-1,0,0,1,1,0,0,1,1,0,-1,-1,1,1,0,0,1,0,0,1
256,0,-1,0,0,1,0,0,0,-1,1,0,0,0,0,-1,1,0,0,0,1,1
257,0,0,1,-1,-1,1,0,0,1,1,0,0,0,1,0,0,1,0,-1,0,0
258,0,-1,0,-1,-1,1,0,-1,-1,1,0,1,0,1,1,-1,0,0,0,0,0
259,1,0,1,-1,0,-1,0,0,0,-1,0,-1,-1,1,1,1,0,0,0,-1,1
260,1,1,-1,1,0,0,1,0,1,1,1,0,0,-1,0,0,0,1,1,1,1
261,0,-1,0,-1,1,0,1,-1,0,0,0,1,1,-1,0,1,0,1,0,-1,1
262,1,-1,-1,0,-1,1,0,0,-1,1,1,-1,0,-1,0,1,1,0,-1,1,1
263,-1,0,0,0,1,0,0,1,0,1,0,0,0,1,-1,1,0,1,0,0,1
264,-1,0,0,0,0,1,1,0,0,0,0,1,-1,0,-1,-1,1,0,1,1,1
265,0,0,-1,1,-1,0,-1,0,0,0,1,-1,1,1,-1,-1,0,-1,0,0,1
266,0,-1,0,1,-1,0,-1,0,1,1,-1,0,-1,1,0,0,0,1,-1,-1,1
267,1,1,1,1,-1,1,0,0,-1,0,-1,-1,1,-1,0,0,-1,-1,1,1,0
268,0,-1,-1,0,-1,1,1,1,1,0,1,0,0,1,-1,1,-1,1,1,0,0
269,1,-1,0,1,1,-1,1,-1,0,-1,0,0,1,0,0,0,0,1,-1,0,0
270,-1,1,1,1,-1,1,0,1,-1,-1,1,1,1,-1,1,0,0,0,0,0,0
271,0,1,0,1,-1,0,0,-1,-1,0,-1,1,0,-1,-1,-1,1,0,1,0,1
272,-1,0,0,-1,1,-1,0,-1,0,1,-1,1,1,1,0,1,0,1,0,0,1
273,1,0,1,0,1,-1,1,1,1,0,0,1,1,1,-1,1,1,0,0,1,1
274,-1,0,1,1,0,0,-1,-1,1,0,0,1,0,-1,1,0,0,1,0,-1,1
275,-1,1,-1,-1,0,-1,0,-1,0,1,-1,1,1,0,1,0,1,1,0,1,1
276,0,0,1,-1,-1,1,0,-1,1,0,1,1,-1,1,1,0,0,0,1,0,0
277,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,-1,1,1,-1,1,0,0,-1,1
278,-1,1,-1,1,0,1,0,0,1,0,0,1,1,0,-1,1,1,0,0,0,1
279,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
280,-1,1,1,0,0,0,-1,1,1,0,1,-1,1,1,0,0,1,0,0,0,0
281,-1,-1,-1,1,0,1,-1,0,-1,0,1,0,1,0,0,0,1,-1,1,1,1
